First blank x,First blank y,Second blank x,Second blank y,Count
0,0,1,0,305
0,5,1,5,290
5,5,5,6,286
0,0,0,1,282
2,6,3,6,264
4,6,5,6,259
2,6,6,2,253
0,4,0,5,241
0,0,5,3,216
2,6,4,5,211
5,0,6,0,207
5,6,6,2,203
6,0,6,1,200
2,5,2,6,200
2,6,5,1,200
5,1,5,6,197
0,0,4,5,195
0,5,2,6,191
5,0,6,2,190
1,1,5,6,189
0,0,5,1,188
0,0,2,6,188
1,4,5,6,183
0,3,6,2,183
1,4,2,6,179
1,4,2,4,178
5,3,5,4,176
6,1,6,2,174
1,1,2,6,172
0,2,0,3,172
0,0,6,2,170
2,6,5,3,170
3,0,4,0,170
4,5,6,2,167
2,6,3,4,167
1,4,4,5,164
1,5,5,6,164
0,5,5,6,163
1,1,5,3,161
4,5,5,1,159
4,3,5,3,158
4,3,5,6,156
1,4,5,3,155
4,4,5,6,154
1,1,6,2,151
3,0,6,2,151
0,0,0,5,150
0,5,5,3,150
0,3,1,3,148
3,0,5,1,146
2,6,4,2,145
0,3,5,1,145
0,0,5,6,145
2,6,5,6,145
6,0,6,2,142
2,2,2,6,142
0,3,5,6,140
0,5,6,2,139
3,5,4,5,139
0,2,1,4,136
5,1,6,2,133
1,0,5,6,133
0,0,4,2,133
0,0,1,2,133
2,6,4,3,133
5,1,5,3,132
3,5,5,6,131
0,4,5,6,130
0,0,3,5,129
2,0,3,0,129
1,1,5,1,129
0,5,1,1,128
2,6,6,0,127
0,0,3,1,127
3,0,4,5,127
1,0,2,6,125
1,5,2,6,125
5,2,6,2,125
3,0,3,1,125
0,0,1,4,125
2,4,5,6,125
3,1,6,2,124
0,3,4,5,123
0,3,0,4,122
4,0,5,3,121
1,1,3,5,120
0,0,6,1,119
1,4,6,2,119
2,3,5,1,119
4,5,5,3,119
0,3,1,4,118
2,6,3,3,118
4,5,5,4,117
0,3,1,1,117
4,2,4,3,116
2,3,6,2,116
0,3,5,3,116
0,4,2,6,116
1,1,4,5,116
2,6,4,4,116
1,4,4,2,115
2,2,5,6,115
4,0,5,6,115
1,5,5,1,115
4,3,6,2,115
2,2,2,3,114
2,0,2,6,114
